Food,Serving,Calories,food_image
Artichoke,1 artichoke (128 g),60 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/08/artichoke-close-up.jpg
Arugula,1 leaf (2 g),1 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/09/salad-of-pumpkin-arugula-and-blue-cheese.jpg
Asparagus,1 spear (12 g),2 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/04/asian-asparagus.jpg
Beetroot,1 beet (82 g),35 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/chicken-breast-steaks-with-beetroot.jpg
Bell Pepper,1 pepper (73 g),15 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/06/stuffed-bell-pepper-rice.jpg
Black Olives,1 olive (2.7 g),2 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/03/pasta-fusilli-with-fresh-black-olives-and-tomatoes.jpg
Broccoli,1 bunch (608 g),207 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/pan-with-broccoli-brussel-sprouts-and-tomatoes.jpg
Brussels Sprouts,1 sprout (19 g),8 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/12/brussels-sprout-salad.jpg
Cabbage,1 head (908 g),227 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/red-cabbage.jpg
Capsicum,1 pepper (45 g),12 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/02/capsicum.jpg
Carrot,1 carrot (61 g),25 cal,https://www.foodiesfeed.com/wp-content/uploads/2024/01/carrot-raisin-salad.jpg
Cauliflower,1 floweret (13 g),3 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/paleo-chicken-breast-with-mashed-cauliflower.jpg
Celery,1 stalk (40 g),6 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/11/wonderful-healthy-celery.jpg
Chard,1 leaf (48 g),9 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/10/choosing-red-swiss-chard-in-a-grocery-store.jpg
Cherry Tomato,1 cherry tomato (20 g),20 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/10/detail-of-cherry-tomatoes-with-drops-of-water-and-spaghetti.jpg
Chinese Cabbage,1 head (840 g),134 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/red-cabbage.jpg
Collard Greens,"1 cup, raw (36 g)",12 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/05/greens-alley-in-a-grocery-store.jpg
Corn,1 cup (154 g),562 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/popcorn-detail-on-a-white-background.jpg
Creamed Spinach,1 cup (200 g),148 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/07/pork-stuffed-with-spinach.jpg
Cucumber,1 cucumber (410 g),66 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/glass-of-homemade-cucumber-lemonade.jpg
Eggplant,1 eggplant (458 g),115 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/11/wonderful-healthy-eggplant.jpg
Garlic,1 clove (3 g),4 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/08/dirty-garlic-on-a-market.jpg
Green Beans,1 cup (110 g),34 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/05/greens-alley-in-a-grocery-store.jpg
Green Olives,1 olive (2.7 g),2 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/05/greens-alley-in-a-grocery-store.jpg
Green Onion,1 green onion (15 g),5 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/05/greens-alley-in-a-grocery-store.jpg
Horseradish,1 tbsp (15 g),7 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/11/cabbage-roll-with-roasted-vegetables-and-horseradish-sauce.jpg
Kale,"1 cup, chopped (67 g)",33 cal,https://www.foodiesfeed.com/wp-content/uploads/2022/07/chopped-curly-kale-in-a-wooden-bowl.jpg
Kohlrabi,1 kohlrabi (400 g),108 cal,https://www.foodiesfeed.com/wp-content/uploads/2022/07/purple-and-green-mix-of-kohlrabi.jpg
Leek,1 leek (89 g),54 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/fresh-cut-leek.jpg
Lettuce,1 head (600 g),90 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/08/fresh-green-lettuce-in-a-grocery-store.jpg
Mushrooms,1 mushroom (5.4 g),1 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/11/colorful-broccoli-mushrooms-mix.jpg
Mustard Greens,"1 cup, chopped (56 g)",15 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/05/greens-alley-in-a-grocery-store.jpg
Olives,1 olive (2.7 g),2 cal,https://www.foodiesfeed.com/wp-content/uploads/2022/11/tapas-bar-with-hummus-and-olives.jpg
Onion,1 onion (85 g),34 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/11/onions-on-onions-on-onions.jpg
Peas,1 cup (98 g),79 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/01/green-peas.jpg
Pepper,1 pepper (75 g),20 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/06/stuffed-bell-pepper-rice.jpg
Potato,1 potato (213 g),164 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/chicken-schnitzel-with-mashed-potatoes.jpg
Pumpkin,1 pumpkin (196 g),51 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Radishes,1 radish (4.5 g),1 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/08/holding-fresh-radishes-in-hand-1.jpg
Red Cabbage,1 leaf (22 g),7 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/red-cabbage.jpg
Spinach,1 bunch (340 g),78 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/07/pork-stuffed-with-spinach.jpg
Squash,1 squash (196 g),88 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Sweet Potato,1 potato (130 g),112 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/chicken-schnitzel-with-mashed-potatoes.jpg
Tomato,1 tomato (111 g),20 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/pasta-tomatoes-and-other-italian-ingredients-1.jpg
Turnip Greens,1 turnip green (170 g),34 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/09/turnip.jpg
Turnips,1 turnip (122 g),34 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/09/turnips-in-love.jpg
Wasabi,1 root (169 g),184 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/10/sushi-nigiri-and-maki-with-wasabi-on-a-summer-party.jpg
Winter Squash,1 squash (431 g),147 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Zucchini,1 zucchini (196 g),33 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/potatoes-with-mushrooms-and-zucchini.jpg
Acai,1 oz. (28.35 g),20 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/01/acai-smoothie-bowls.jpg
Apple,1 apple (182 g),95 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/roastbeef-with-grilled-pineapple-and-greens.jpg
Apricot,1 apricot (35 g),17 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/04/short-drink-with-dried-apricot.jpg
Avocado,1 avocado (200 g),320 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/fresh-figs-and-avocado.jpg
Banana,1 banana (125 g),111 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/04/peanut-butter-and-banana-smoothie.jpg
Blackberries,1 cup (144 g),62 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/torta-primavera.jpg
Blood Oranges,1 serving (140 g),70 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/03/salmon-and-blood-orange-bruschettas.jpg
Blueberries,1 cup (148 g),84 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/11/peeled-almonds-with-coconut-and-blueberries.jpg
Cherries,1 cherry (8 g),4 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/09/dark-red-cherries-on-a-market.jpg
Custard Apple,1 custard apple (135 g),136 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/07/delicious-eclairs-on-a-plate-decorated-with-dried-raspberries.jpg
Dates,1 date (7.1 g),20 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/07/cup-coffee.jpg
Figs,1 fig (50 g),37 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/fresh-figs-and-avocado.jpg
Fruit salad,1 cup (249 g),125 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/06/salad-in-a-salad-bar-scaled.jpg
Grapes,1 cup (151 g),104 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/02/cheese-with-honey-salty-biscuits-and-grapes.jpg
Jujube,1 oz. (28.35 g),22 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/red-jujube.jpg
Kiwi,1 liwi (183 g),112 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/04/three-layer-smoothie-from-banana-kiwi-and-strawberry-on-a-wooden-background.jpg
Lemon,1 lemon (58 g),17 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/citruses-for-a-homemade-lemonade.jpg
Lime,1 lime (67 g),20 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/11/lime-posset-with-fresh-fruits.jpg
Mandarin Oranges,1 mandarin orange (88 g),47 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/fresh-mandarins.jpg
Mango,1 mango (336 g),202 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/ripe-mango-on-a-mango-tree.jpg
Nectarine,1 nectarine (150 g),66 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/09/fresh-fruit-in-summer.jpg
Olives,1 olive (2.7 g),2 cal,https://www.foodiesfeed.com/wp-content/uploads/2022/11/tapas-bar-with-hummus-and-olives.jpg
Orange,1 orange (131 g),62 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/fresh-parsley-and-oranges.jpg
Passion Fruit,1 passoin fruit (18 g),17 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/09/passion-fruit.jpg
Peach,1 peach (150 g),59 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/09/peaches-on-a-peach-background.jpg
Pear,1 pear (178 g),101 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/08/homemade-poppy-seed-almond-cake-with-pears.jpg
Persimmon,1 fruit (25 g),32 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/12/persimmon-kaki-fruit.jpg
Physalis,1 berry (5 g),2 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/05/physalis-fruit-close-up.jpg
Pineapple,1 pineapple (905 g),453 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/roastbeef-with-grilled-pineapple-and-greens.jpg
Plantains,1 plantain (179 g),218 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/08/paleo-chicken-skewers-with-plantains.jpg
Plum,1 plum (66 g),30 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/12/spicy-plum-pie.jpg
Pomegranate,1 pomegranate (282 g),234 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/02/berries.jpg
Raisins,1 cup (145 g),434 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/07/cinnamon-and-maple-syrup-cake.jpg
Rambutan,1 rambutan (9 g),7 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/rambutan-fruit-close-up.jpg
Raspberries,1 cup (123 g),64 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/raspberries-at-a-market.jpg
Rhubarb,1 stalk (51 g),11 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/homemade-rhubarb-cake-1.jpg
Strawberries,1 cup (152 g),49 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/06/cutted-strawberries.jpg
Tamarind,1 tamarind (2 g),5 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/09/tamarind.jpg
Tangerine,1 tangerine (88 g),47 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/01/girl-peeling-tangerine.jpg
Watermelon,1 wedge (286 g),86 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/girl-eating-watermelon-outside.jpg
Baby Back Ribs,1 serving (139 g),360 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/wooden-plate-with-lamb-ribs.jpg
Bacon and Eggs,1 serving (214 g),539 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/08/high-protein-brunch-with-poached-eggs-beans-and-bacon.jpg
Baked Beans,1 cup (260 g),244 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/04/beef-with-green-beans-and-vegetables-rissotto.jpg
BBQ Ribs,1 rib (141 g),360 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/wooden-plate-with-lamb-ribs.jpg
Beef Stew,1 cup (196 g),186 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/05/beef-potato-stew.jpg
Black Pudding,1 pudding (40 g),101 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/09/chia-pudding.jpg
Black Rice,1/2 cup (100 g),323 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/06/stuffed-bell-pepper-rice.jpg
Brown Rice,1 cup (185 g),670 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/05/melting-chocolate-brownie.jpg
Burrito,1 burrito (200 g),326 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/04/mexican-burrito-with-cream.jpg
Butter Chicken,1 tray (350 g),490 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/04/peanut-butter-and-banana-smoothie.jpg
California Roll,1 roll (35 g),33 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/09/sushi-yam-california-rolls-3.jpg
Chicken Caesar Salad,1 salad (309 g),392 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/09/caesar-salad-with-chicken.jpg
Chicken Fried Steak,1 steak (280 g),423 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/05/fried-chicken-commercial.jpg
Chicken Marsala,1 serving (2301 g),2209 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/12/grilling-chicken-satay.jpg
Chicken Parmesan,1 piece (227 g),250 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/02/parmesan-cheese.jpg
Chicken Pot Pie,1 pie (302 g),673 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/chicken-schnitzel-with-mashed-potatoes.jpg
Chicken Tikka Masala,1 serving (241 g),195 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/12/grilling-chicken-satay.jpg
Chili con Carne,1 cup (253 g),266 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/10/hanging-dried-chili-peppers.jpg
Cobb Salad,1 serving (536 g),632 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/06/salad-in-a-salad-bar-scaled.jpg
Collard Greens,1 cup (45 g),13 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/05/greens-alley-in-a-grocery-store.jpg
Corn Dog,1 item (175 g),438 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/popcorn-detail-on-a-white-background.jpg
Corned Beef Hash,1 can (213 g),349 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/03/eating-hash-browns-with-eggs-for-breakfast.jpg
Cottage Pie,1 pie (376 g),523 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/12/spicy-plum-pie.jpg
Deviled Eggs,1/2 egg (31 g),62 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/08/high-protein-brunch-with-poached-eggs-beans-and-bacon.jpg
Dim Sum,1 piece (19 g),37 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/08/eating-chinese-steamed-and-fried-buns-with-chopsticks-1.jpg
Enchiladas,1 enchilada (192 g),323 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/12/eating-enchiladas-outside.jpg
Fajita,1 serving (248 g),290 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/01/chicken-fajitas-in-a-mexican-restaurant.jpg
Fish and Chips,1 serving (300 g),585 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/potato-and-beetroot-chips.jpg
Fried Rice,1 serving (356 g),662 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/10/fried-rice-with-egg-and-spring-onion.jpg
Fried Shrimp,1 shrimp (27 g),75 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/shrimp-dishes-in-bubba-gump-restaurant-1.jpg
Grilled Cheese Sandwich,1 sandwich (136 g),392 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/grilled-cheese-sandwich.jpg
Ham and Cheese Sandwich,1 sandwich (146 g),352 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/05/deli-ham-sandwich.jpg
Hummus,1 cup (246 g),435 cal,https://www.foodiesfeed.com/wp-content/uploads/2022/11/tapas-bar-with-hummus-and-olives.jpg
Kebab,1 kebab (360 g),774 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/shish-kebab-on-a-skewer-with-vegetables.jpg
Mac and Cheese,1 serving (189 g),699 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/camembert-cheese-macro-shot.jpg
Macaroni and Cheese,1 serving (189 g),699 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/03/tasting-cheese-in-a-cheese-factory-1.jpg
Mashed Potatoes,1 cup (210 g),174 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/chicken-schnitzel-with-mashed-potatoes.jpg
Meat Pie,1 pie (120 g),290 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/12/spicy-plum-pie.jpg
Naan,1 bread (84 g),260 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/03/close-up-of-butter-chicken-indian-dish.jpg
Orange Chicken,1 serving (162 g),420 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/03/chicken-legs-with-tomatoes-peppers-and-oranges-1.jpg
Pad Thai,1 cup (250 g),375 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/08/shrimps-pad-thai.jpg
Paella,1/2 package (128 g),200 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/06/seafood-paella-close-up-scaled.jpg
Pea Soup,1 cup (253 g),190 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Peanut Butter Sandwich,1 sandwich (49 g),200 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/04/peanut-butter-and-banana-smoothie.jpg
Peking Duck,1/2 duck (178 g),401 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/barbecued-grilled-dark-ramen.jpg
Philly Cheese Steak,1 sandwich (120 g),300 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/03/tasting-cheese-in-a-cheese-factory-1.jpg
Pizza,1 slice (102 g),272 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Pork Chop,1 chop (131 g),295 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/06/roasted-pork-belly.jpg
